Name,Price,Product Details
EXPO®Low-OdorDry-EraseMarkers FinePoint AssortedColors PackOf4, $3.49 ,"Item :268601 ,OfficeMax :21011405,Manufacturer :86674 ,Color (Ink): Black; Blue; Green; Red ,point type: Fine ,retractable: No ,grip type: Contoured ,magnetic: No ,odorless: No ,pocket clip: No ,scented: No ,visible ink supply: No ,Product Line: Low Odor ,washable: No ,quantity: 4 ,brand name: Expo ,Eco-conscious: Less Harsh Chemicals ,Eco Label Standard: Certified AP Nontoxic ,manufacturer: NEWELL BRANDS INC. ,Product Type: Dry-Erase Marker ,Product Name: Low-Odor Dry-erase Fine Tip Markers ,Marker Point: Fine ,Certifications & Standards:"
BIC®BriteLiner®Highlighters ChiselPoint Assorted 5-Pack, $1.99 ,"Item :942742 ,OfficeMax :21324693,Manufacturer :BLP51W-AST ,quantity: 5 ,point type: Chisel ,Color (Barrel): Assorted ,Color (Ink): Blue; Green; Pink; Orange; Yellow ,erasable: No ,grip type: None ,refillable: No ,retractable: No ,washable: No ,Product Line: Brite Liner ,brand name: BIC ,manufacturer: BIC CORP ,Product Type: Highlighter"
OfficeDepot®BrandNeonEraserCaps AssortedColors PackOf12, $0.50 ,"Item :486653 ,OfficeMax :25248973,Manufacturer :RW486653 ,color: Assorted ,primary material: Rubber ,Smudge Resistant: Yes ,material family: Rubber ,quantity: 12 ,brand name: Office Depot ,Distributed By: Office Depot Inc. ,manufacturer: OFFICE DEPOT ,Product Type: Cap Eraser ,Recommended Medium: Lead"
TUL®RetractableGelPens MediumPoint 0.7mm SilverBarrel AssortedStandard&BrightInkColors PackOf14Pens, $22.99 ,"Item :990476 ,OfficeMax :25440906,Manufacturer :BG07P14 ,Color (Ink): Assorted ,point size: 0.7 Mm ,Color (Barrel): Assorted ,point type: Medium ,click style: Top ,erasable: No ,grip type: Rubberized ,ink type: Gel ,refillable: No ,retractable: Yes ,Smudge Resistant: Yes ,Material (barrel): Plastic ,pocket clip: Yes ,visible ink supply: No ,material family: Plastic ,Quick Drying: Yes ,quantity: 14 ,brand name: TUL ,Distributed By: Office Depot Inc. ,manufacturer: OFFICE DEPOT ,Product Type: Gel Pen"
Cra-Z-ArtPlasticSchoolBox 2-3/16”Hx5-3/16”Wx8”D AssortedColors, $1.99 ,"Item :9483168 ,Manufacturer :11411-6 ,primary material: Plastic ,color: Assorted ,material family: Plastic ,closure type: Clasp ,number of holes punched: 0 ,width: 5-3/16 in. ,depth: 8 in. ,height: 2-3/16 in. ,Product Line: Plastic School Boxes ,quantity: 1 ,brand name: Cra-Z-Art ,manufacturer: LAROSE INDUSTRIES LLC ,Product Type: Pencil Box"
PaperMate®PinkPearl®Erasers Medium PackOf3, $1.99 ,"Item :485177 ,OfficeMax :10016984,Manufacturer :70502 ,color: Pink ,primary material: Rubber ,Recommended Medium: Lead ,Smudge Resistant: Yes ,material family: Rubber ,Product Line: Pink Pearl ,quantity: 3 ,brand name: Paper Mate ,manufacturer: DIXON TICONDEROGA COMPANY ,Product Type: Cube Eraser ,Product Name: Pink Pearl Eraser"
EXPO®Low-OdorDry-EraseMarkers FinePoint Black PackOf4, $3.49 ,"Item :268651 ,OfficeMax :10010016,Manufacturer :86661 ,quantity: 4 ,Color (Ink): Black ,point type: Fine ,retractable: No ,grip type: Contoured ,magnetic: No ,odorless: No ,pocket clip: No ,scented: No ,visible ink supply: No ,Product Line: Low Odor ,washable: No ,brand name: Expo ,Eco-conscious: Less Harsh Chemicals ,Eco Label Standard: Certified AP Nontoxic ,manufacturer: NEWELL BRANDS INC. ,Product Type: Dry-Erase Marker"
TUL®RetractableGelPens MediumPoint 0.7mm SilverBarrel BlackInk PackOf12Pens, $16.99 ,"Item :1373923 ,OfficeMax :21078940,Manufacturer :OM96446 ,Color (Ink): Black ,point size: 0.7 Mm ,Color (Barrel): Silver ,point type: Medium ,click style: Top ,erasable: No ,grip type: Cushioned ,ink type: Gel ,refillable: Yes ,retractable: Yes ,Smudge Resistant: Yes ,Material (barrel): Plastic ,pocket clip: Yes ,visible ink supply: No ,Product Line: Retractable Gel ,material family: Plastic ,Quick Drying: Yes ,quantity: 12 ,brand name: TUL ,Distributed By: Office Depot Inc. ,Product Type: Gel Pen"
TUL®RetractableGelPens MediumPoint 0.7mm SilverBarrel BlueInk PackOf12Pens, $17.99 ,"Item :1373878 ,OfficeMax :21078334,Manufacturer :OM96445 ,point size: 0.7 Mm ,Color (Ink): Blue ,Color (Barrel): Silver ,point type: Medium ,click style: Top ,erasable: No ,grip type: Cushioned ,ink type: Gel ,refillable: Yes ,retractable: Yes ,Smudge Resistant: Yes ,Material (barrel): Plastic ,pocket clip: Yes ,visible ink supply: No ,Product Line: Retractable Gel ,material family: Plastic ,Quick Drying: Yes ,quantity: 12 ,brand name: TUL ,Distributed By: Office Depot Inc. ,Product Type: Gel Pen"
BIC®Xtra-SparkleMechanicalPencils 0.7mm #2Lead AssortedBarrelColor PackOf24, $3.49 ,"Item :850213 ,OfficeMax :20671328,Manufacturer :MPLP241 ,Lead Size: 0.7 mm ,quantity: 24 ,Color (Barrel): Assorted ,eraser included: Yes ,grip type: Contoured ,Material (barrel): Plastic ,refillable: Yes ,retractable: Yes ,Mechanical Style: Click ,pocket clip: Yes ,Product Line: Xtra Sparkle ,brand name: BIC ,manufacturer: BIC CORP ,Product Type: Mechanical Pencil"
EXPO®Low-OdorDry-EraseMarkers ChiselPoint AssortedColors PackOf8, $6.99 ,"Item :268571 ,OfficeMax :10010070,Manufacturer :80678 ,Color (Barrel): White ,Color (Ink): Black; Blue; Brown; Green; Orange; Pink; Purple; Red ,point type: Chisel ,retractable: No ,grip type: None ,Eraser Tip: No ,Barrel Type: Tank ,magnetic: No ,odorless: No ,pocket clip: No ,scented: No ,visible ink supply: No ,Product Line: Low Odor ,washable: Yes ,quantity: 8 ,brand name: Expo ,Eco-conscious: Less Harsh Chemicals ,Eco Label Standard: Certified AP Nontoxic ,manufacturer: NEWELL BRANDS INC. ,Product Type: Dry-Erase Marker ,Product Name: Low-Odor Dry Erase Chisel Tip Markers ,Marker Point Style: Chisel ,Certifications & Standards:"
OfficeDepot®RetractableBallpointPensWithGrips MediumPoint 1.0mm Black/Blue/RedBarrels Black/Blue/RedInks PackOf50Pens, $7.99 ,"Item :161636 ,OfficeMax :25686400,Manufacturer :AH190-50 ,point size: 1.0 mm ,Color (Barrel): Red ,point type: Medium ,Color (Ink): Black; Blue; Red ,click style: Top ,erasable: No ,grip type: Rubber Cushion ,ink type: Oil Based ,refillable: Yes ,retractable: Yes ,Smudge Resistant: Yes ,Material (barrel): Plastic ,pocket clip: Yes ,visible ink supply: Yes ,material family: Plastic ,Quick Drying: Yes ,quantity: 50 ,brand name: Office Depot ,Distributed By: Office Depot Inc. ,manufacturer: OFFICE DEPOT ,Product Type: Ballpoint Pen"
OfficeDepot®BrandWoodPencils #2Lead Medium Packof72, $4.99 ,"Item :825488 ,OfficeMax :25416746,Manufacturer :2016-V01 ,Color (Barrel): Yellow ,primary material: Wood ,material family: Wood ,eraser included: Yes ,grip type: Hexagonal ,lead type: 2 Medium ,presharpened: No ,Product Line: Pencils ,quantity: 72 ,brand name: Office Depot ,Distributed By: Office Depot Inc. ,manufacturer: OFFICE DEPOT ,Product Type: Standard Pencil"
Ticonderoga®Pencils Presharpened #2Lead Soft Packof18, $3.99 ,"Item :708575 ,OfficeMax :21624716,Manufacturer :13818 ,Color (Barrel): Yellow ,primary material: Wood ,material family: Wood ,eraser included: Yes ,grip type: Hexagonal ,lead type: 2 Soft ,Material (barrel): Wood ,presharpened: Yes ,Product Line: Ticonderoga ,quantity: 18 ,brand name: Dixon ,Eco-conscious: Less Harsh Chemicals ,Eco Label Standard: Certified AP Nontoxic ,manufacturer: DIXON TICONDEROGA COMPANY ,Product Type: Standard Pencil"
